depth_km,vp_kms,vs_kms
0.0,1.4558,0.5
0.1,1.4558,0.5
0.2,1.4558,0.5
0.3,1.4558,0.5
0.4,1.4558,0.5
0.5,1.4558,0.5
0.6,1.4558,0.5
0.7,1.4558,0.5
0.8,1.4558,0.5
0.9,1.4558,0.5
1.0,1.4558,0.5
1.1,1.4558,0.5
1.2,1.4558,0.5
1.3,1.4558,0.5
1.301,2.3482,1.3192
1.5,2.3482,1.3192
1.7,2.7836,1.5638
1.9,3.2239,1.8112
2.1,3.6562,2.0541
2.3,4.0448,2.2723
2.5,4.3664,2.453
2.7,4.6476,2.611
2.9,4.9242,2.7664
3.1,5.2015,2.9222
3.3,5.4619,3.0685
3.5,5.6925,3.198
3.7,5.8655,3.2952
3.9,5.9796,3.3594
4.1,6.0561,3.4023
4.3,6.1166,3.4363
4.5,6.17,3.4663
4.7,6.2166,3.4924
4.9,6.2579,3.5157
5.1,6.2951,3.5366
5.3,6.3274,3.5547
5.5,6.3589,3.5724
5.7,6.3858,3.5875
5.9,6.4099,3.6011
6.1,6.4312,3.6131
6.3,6.4483,3.6226
6.5,6.4655,3.6323
6.7,6.4793,3.6401
6.9,6.4916,3.647
7.1,6.5026,3.6532
7.3,6.5111,3.6579
7.5,6.5111,3.6579
7.7,6.5111,3.6579
7.9,6.5111,3.6579
8.1,6.5111,3.6579
8.3,6.5111,3.6579
8.5,6.5111,3.6579
8.7,6.5111,3.6579
8.9,6.5111,3.6579
9.1,6.5111,3.6579
9.3,6.5111,3.6579
9.5,6.5111,3.6579
9.7,6.5111,3.6579
9.9,6.5111,3.6579
10.1,6.5111,3.6579
10.3,6.5111,3.6579
10.5,6.5111,3.6579
10.7,6.5111,3.6579
10.9,6.5111,3.6579
11.1,6.5111,3.6579
11.3,6.5111,3.6579
16.3,6.6,3.7079
21.3,6.8,3.8202
31.3,7.0,3.9326
70.0,7.0,3.9326
